SI,LONMANJ0,4000,000,290124,876169,FILLET (TRIM) BX              , 0.000,T1,0.00,2,40.07,FTB,00391282
SI,LONMANJ0,4000,000,290124,876169,3-JOINT WINGS BX              , 0.000,T1,0.00,1,15.14,W3JB,00391282
SI,LONGAF01,4000,000,290124,876170,CHICKEN PAWS (L) BX           , 0.000,T1,0.00,31,465.00,FELB,00391281
SI,LONGAF01,4000,000,290124,876170,FLAT MID WINGS BOX            , 0.000,T1,0.00,264,3960.00,FWB,00391281
SI,LONGAF01,4006,000,290124,876170,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,17,17000.00,WFP,00391281
SI,LONGAF01,4006,000,290124,876171,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,26,26000.00,WFP,00391279
SI,LONGAF01,4006,000,290124,876172,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,26,26000.00,WFP,00391278
SI,LONGAF01,4006,000,290124,876173,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,26,26000.00,WFP,00391277
SI,LONGAF01,4006,000,290124,876174,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,26,26000.00,WFP,00391275
SI,LONGAF01,4006,000,290124,876175,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,26,26000.00,WFP,00391274
SI,LONGAF01,4006,000,290124,876176,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,20,20000.00,WFP,00391273
SI,LONGAF01,4006,000,290124,876177,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,26,26000.00,WFP,00391272
SI,LONGAF01,4006,000,290124,876178,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,26,26000.00,WFP,00391271
SI,LONGAF01,4006,000,290124,876179,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,26,26000.00,WFP,00391270
SI,LONGAF01,4006,000,290124,876180,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,21,21000.00,WFP,00391268
SI,LONGAF01,4006,000,290124,876181,WISHBONE FROZEN PALLET 50 HEIG, 0.000,T1,0.00,26,26000.00,WFP,00391269
SI,LONPOP00,4000,000,290124,876182,MILD 9 PIECE CUT- 184325 (2X 9, 0.000,T1,0.00,3,56.81,PM9PRB01,00391267
SI,LONPOP00,4000,000,290124,876182,MILD BREAST STRIP- 184318 (2X , 0.000,T1,0.00,1,4.67,PMBSRB01,00391267
SI,LONGFCAN,4000,000,290124,876183,DRUMSTICKS 10KG BOX RTA       , 0.000,T1,0.00,1,10.03,10DSB,00391158
SI,LONGFCAN,4000,000,290124,876183,FILLET (TRIM) BX              , 0.000,T1,0.00,1,5.17,FTB,00391158
SI,LONGFCAN,4000,000,290124,876183,FLAT MID WINGS BOX            , 0.000,T1,0.00,1,5.16,FWB,00391158
SI,LONMICK1,4000,000,290124,876184,FILLET (TRIM) BX              , 0.000,T1,0.00,10,201.18,FTB,00391259
SI,LONDIXIX,4000,000,290124,876185,FILLET (TRIM) BX              , 0.000,T1,0.00,2,40.16,FTB,00391248
SI,LONGAF01,4000,000,290124,876186,CHICKEN PAWS (L) BX           , 0.000,T1,0.00,107,1605.00,FELB,00391159
SI,LONGAF01,4000,000,290124,876187,3-JOINT WINGS BX (FROZEN)     , 0.000,T1,0.00,200,2041.39,W3JBF,00391160
SI,BOLBARFL,4000,000,290124,876188,SINGLE LEG HBX                , 0.000,T1,0.00,15,151.88,10LSIBH,00391041
SI,BOLBARFL,4000,000,290124,876188,CHICKEN LIVER HBX             , 0.000,T1,0.00,1,5.00,LVBH,00391041
SI,BOLBARFL,4006,000,290124,876188,POUSIN (800-1100) X12 HBX     , 0.000,T1,0.00,44,575.36,P811BH12,00391041
SI,PREBARTR,4006,000,290124,876189,OVEN READY (11-12) BOX        , 0.000,T1,0.00,18,209.94,C1112B,00391039
SI,PRE786LT,4000,000,290124,876190,DRUMSTICKS 10KG BOX RTA       , 0.000,T1,0.00,1,5.02,10DSB,00391052
SI,PRE786LT,4000,000,290124,876190,SINGLE LEG BX- 10 KG BOX      , 0.000,T1,0.00,2,20.32,10LSIB,00391052
SI,PRE786LT,4006,000,290124,876190,OVEN READY (11-12) BOX        , 0.000,T1,0.00,6,74.22,C1112B,00391052
